5978	1	0	1
5979	5	0	5
5980	0	0	0
5981	7	0	7
5982	3	1	4
5983	2	0	2
5984	1	1	2
5985	1	0	1
5986	0	0	0
5987	9	5	4
5988	1	0	1
5989	2	0	2
5990	0	0	0
5991	2	0	2
5992	4	0	4
5993	8	0	8
5994	5	0	5
5995	2	1	3
5996	0	1	1
5997	0	0	0
5998	0	0	0
5999	5	0	5
6000	0	0	0
6001	5	0	5
6002	2	0	2
6003	2	0	2
6004	4	0	4
6005	4	0	4
6006	1	0	1
6007	0	2	2
6008	2	0	2
6009	0	0	0
6010	1	0	1
6011	0	0	0
6012	3	1	4
6013	7	7	4
6014	2	1	3
6015	5	0	5
6016	0	0	0
6017	0	5	5
6018	3	0	3
6019	1	0	1
6020	2	1	3
6021	1	0	1
6022	1	0	1
6023	4	0	4
6024	7	2	9
6025	7	0	7
6026	2	9	1
6027	1	1	2
6028	4	5	9
6029	7	0	7
6030	3	0	3
6031	7	0	7
6032	6	0	6
6033	7	0	7
6034	6	0	6
6035	3	1	4
6036	3	0	3
6037	1	0	1
6038	2	2	4
6039	1	0	1
6040	1	8	9
6041	2	0	2
6042	0	0	0
6043	4	0	4
6044	2	8	0
6045	0	0	0
6046	0	0	0
6047	0	0	0
6048	4	0	4
6049	5	8	3
6050	5	0	5
6051	0	0	0
6052	2	0	2
6053	5	0	5
6054	4	0	4
6055	1	0	1
6056	0	3	3
6057	1	0	1
6058	2	0	2
6059	8	0	8
6060	6	0	6
6061	0	0	0
6062	1	0	1
6063	1	0	1
6064	0	1	1
6065	1	0	1
6066	3	4	7
6067	0	0	0
6068	5	0	5
6069	4	0	4
6070	3	0	3
6071	5	5	0
6072	0	0	0
6073	7	8	5
6074	2	0	2
6075	6	0	6
6076	1	0	1
6077	0	0	0
6078	0	0	0
6079	3	0	3
6080	3	0	3
6081	5	1	6
6082	6	5	1
6083	0	0	0
6084	2	0	2
6085	1	1	1
6086	4	3	7
6087	1	3	4
6088	1	0	1
6089	1	1	1
6090	0	0	0
6091	4	0	4
6092	1	0	1
6093	0	0	0
6094	2	0	2
6095	5	0	5
6096	2	4	6
6097	0	0	0
6098	3	0	3
6099	8	0	8
6100	5	0	5
6101	3	0	3
6102	2	4	6
6103	1	1	1
6104	6	0	6
6105	2	2	4
6106	4	0	4
6107	0	0	0
6108	0	0	0
6109	3	0	3
6110	1	0	1
6111	2	0	2
6112	4	0	4
6113	3	0	3
6114	0	0	0
6115	3	0	3
6116	4	0	4
6117	0	0	0
6118	6	0	6
6119	1	0	1
6120	2	0	2
6121	2	2	4
6122	1	0	1
6123	1	0	1
6124	8	6	4
6125	1	1	2
6126	2	4	6
6127	1	0	1
6128	3	9	2
6129	0	0	0
6130	5	0	5
6131	3	0	3
6132	4	0	4
6133	2	0	2
6134	2	0	2
6135	2	0	2
6136	0	0	0
6137	4	0	4
6138	2	0	2
6139	1	1	1
6140	0	0	0
6141	1	0	1
6142	1	1	1
6143	7	0	7
6144	0	0	0
6145	1	0	1
6146	1	1	1
6147	1	0	1
6148	0	0	0
6149	1	1	1
6150	3	3	6
6151	1	1	1
6152	1	0	1
6153	0	0	0
6154	0	0	0
6155	7	5	2
6156	2	0	2
6157	9	7	6
6158	5	1	6
6159	1	5	6
6160	1	5	6
6161	1	0	1
6162	2	0	2
6163	0	0	0
6164	0	0	0
6165	0	0	0
6166	1	0	1
6167	4	0	4
6168	7	0	7
6169	1	1	1
6170	6	3	9
6171	5	0	5
6172	2	0	2
6173	1	8	9
6174	2	0	2
6175	1	0	1
6176	2	1	3
6177	6	4	0
6178	3	7	0
6179	1	0	1
6180	1	1	2
6181	2	0	2
6182	7	0	7
6183	2	0	2
6184	2	0	2
6185	1	1	2
6186	1	0	1
6187	0	0	0
6188	0	0	0
6189	0	0	0
6190	5	0	5
6191	1	1	1
6192	0	6	6
6193	7	0	7
6194	1	1	1
6195	3	0	3
6196	6	1	7
6197	2	0	2
6198	6	6	2
6199	0	0	0
6200	6	8	4
6201	0	0	0
6202	1	0	1
6203	0	0	0
6204	4	3	7
6205	6	0	6
6206	1	0	1
6207	0	0	0
6208	1	0	1
6209	4	0	4
6210	0	0	0
6211	1	1	1
6212	6	0	6
6213	1	0	1
6214	1	0	1
6215	3	0	3
6216	3	9	2
6217	4	0	4
6218	6	1	7
6219	0	1	1
6220	6	2	8
6221	2	0	2
6222	1	4	5
6223	2	0	2
6224	0	0	0
6225	0	0	0
6226	2	0	2
6227	3	3	6
6228	5	0	5
6229	0	0	0
6230	2	0	2
6231	4	0	4
6232	2	0	2
6233	3	0	3
6234	1	0	1
6235	2	0	2
6236	5	5	0
6237	7	6	3
6238	0	0	0
6239	2	0	2
6240	1	0	1
6241	6	0	6
6242	0	0	0
6243	3	4	7
6244	1	1	1
6245	4	0	4
6246	1	1	1
6247	0	2	2
6248	1	0	1
6249	1	1	2
6250	3	0	3
6251	0	0	0
6252	3	0	3
6253	1	1	1
6254	1	1	1
6255	1	1	2
6256	0	0	0
6257	0	0	0
6258	2	0	2
6259	3	0	3
6260	1	0	1
6261	3	0	3
6262	4	3	7
6263	6	0	6
6264	7	0	7
6265	1	1	1
6266	5	0	5
6267	1	1	1
6268	5	0	5
6269	1	2	3
6270	5	6	1
6271	8	5	3
6272	3	0	3
6273	1	0	1
6274	7	2	9
6275	3	0	3
6276	3	0	3
6277	2	0	2
6278	1	0	1
6279	1	0	1
6280	0	0	0
6281	6	2	8
6282	6	0	6
6283	0	0	0
6284	8	7	5
6285	8	4	2
6286	8	9	7
6287	4	0	4
6288	0	6	6
6289	0	9	9
6290	5	0	5
6291	0	0	0
6292	1	1	1
6293	1	6	7
6294	1	2	3
6295	2	0	2
6296	0	0	0
6297	2	7	9
6298	0	0	0
6299	7	1	8
6300	0	0	0
6301	6	1	7
6302	0	0	0
6303	2	0	2
6304	2	0	2
6305	3	0	3
6306	2	0	2
6307	0	2	2
6308	5	8	3
6309	1	0	1
6310	4	6	0
6311	2	0	2
6312	2	0	2
6313	8	1	9
6314	1	0	1
6315	1	0	1
6316	2	0	2
6317	1	1	1
6318	1	0	1
6319	8	0	8
6320	9	0	9
6321	3	0	3
6322	0	0	0
6323	0	0	0
6324	0	0	0
6325	9	5	4
6326	5	0	5
6327	0	2	2
6328	0	1	1
6329	6	0	6
6330	4	8	2
6331	3	8	1
6332	0	0	0
6333	5	0	5
6334	3	2	5
6335	1	6	7
6336	3	0	3
6337	2	2	4
6338	9	0	9
6339	2	0	2
6340	3	0	3
6341	8	1	9
6342	0	0	0
6343	1	0	1
6344	4	0	4
6345	7	3	0
6346	2	0	2
6347	1	1	1
6348	8	2	0
6349	7	6	3
6350	1	1	1
6351	0	0	0
6352	2	3	5
6353	8	0	8
6354	2	0	2
6355	4	0	4
6356	0	0	0
6357	0	0	0
6358	1	0	1
6359	0	0	0
6360	7	0	7
6361	0	0	0
6362	0	0	0
6363	5	0	5
6364	6	0	6
6365	2	0	2
6366	1	1	1
6367	1	0	1
6368	2	0	2
6369	1	0	1
6370	0	0	0
6371	4	0	4
6372	1	0	1
6373	1	0	1
6374	5	0	5
6375	1	0	1
6376	0	0	0
6377	6	0	6
6378	2	0	2
6379	8	0	8
6380	0	0	0
6381	1	9	0
6382	5	0	5
6383	5	0	5
6384	3	0	3
6385	3	0	3
6386	1	1	1
6387	5	4	9
6388	8	6	4
